ISO3,Country,Region,Income_Level,M_Score,I_Score,N_Score,D_Score,MIND_Score,Binding_Constraint,NY.GNP.PCAP.PP.CD,EG.ELC.ACCS.ZS,SP.DYN.LE00.IN,SH.H2O.SMDW.ZS,SE.TER.ENRR,GB.XPD.RSDV.GD.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,NE.TRD.GNFS.ZS,IT.CEL.SETS.P2,BX.KLT.DINV.WD.GD.ZS,ST.INT.ARVL,SG.GEN.PARL.ZS,SL.TLF.CACT.FE.ZS,EG.FEC.RNEW.ZS,TX.VAL.TECH.MF.ZS
SUR,Suriname,Latin America & Caribbean,Upper middle income,56.48,36.11,24.88,34.25,36.31,N,20000,99.6,73.757,55.8472410362348,2.56642457392281,,87.4,2.86623341491363,90.9613941465855,142.122626416427,-0.850285319023894,279000,31.3725490196078,44.915,14.5,10.3729916697731
SVK,Slovak Republic,Europe & Central Asia,High income,78.03,46.39,35.62,34.94,46.07,D,47040,100,78.3707317073171,99.5715569148418,54.4743194580078,1.03359,89.82507032,4.65688991546631,171.212800151635,139.967676092657,3.55503662060591,15299000,23.3333333333333,55.127,17.9,10.5935553645599
SVN,Slovenia,Europe & Central Asia,High income,83.53,57.84,29.10,40.25,48.77,N,56520,100,82.2853658536585,99.5745942010052,80.0806884765625,2.13385,90.76355487,5.28065013885498,155.657928684474,130.86090177123,2.5587649173879,1216000,35.5555555555556,52.297,23.4,8.34338034336379
SWE,Sweden,Europe & Central Asia,High income,89.01,70.10,27.22,59.79,56.45,N,75000,100,84.0634146341463,99.7607966673045,83.9988098144531,3.59978,95.76629783,7.31909990310669,105.883091480464,140.686673016562,4.47808450970011,1957000,44.9856733524355,61.537,57.9,17.6524551082203
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,37.54,37.62,26.26,41.28,35.18,N,10760,86.4,64.264,38.2165357028722,6.43545771863543,,63.40309906,6.03082905337534,107.480621053879,139.833459658744,1.55448906259813,345299.987792969,21.6216216216216,48.518,64.7,0.285307158606886
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,70.01,16.83,38.26,0.00,0.00,D,51990,100,76.528,,7.65284309533989,,,3.92363832601723,,205.372695128029,2.06435549473904,1952000,,,0,
SYC,Seychelles,Sub-Saharan Africa,High income,63.77,43.83,31.95,16.55,34.87,D,32180,100,76.2951219512195,64.7022316280556,14.5342502593994,,87.81800079,4.45409960547034,188.369185297411,125.616862703001,10.4342001858715,124500,26.4705882352941,,1.9,0.0899054165105232
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,47.75,23.10,12.35,6.63,17.34,D,4610,88.4,72.56,,43.7606582641602,0.04217,33.77000046,,35.6094680799956,71.2231424453527,1.19065657189387,2424000,4.91803278688525,12.727,1.1,
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,61.85,13.56,10.96,0.00,0.00,D,37440,100,78.181,47.0499187664591,25.2537080405933,,0,2.94998113247616,,,2.5209301366237,370399.993896484,,,0.8,
TCD,Chad,Sub-Saharan Africa,Low income,0.28,12.59,13.53,63.40,7.42,M,2710,12,55.238,6.34082647389426,4.39665967267065,,12.62689972,3.20149725837724,47.8679892951699,72.9289782617702,5.2230945466515,10399.9996185303,33.5106382978723,47.301,70,
TGO,Togo,Sub-Saharan Africa,Low income,22.37,21.08,14.94,43.89,23.58,N,3380,59.2,62.935,20.5232352790187,14.9029897765252,0.22229,39.48320007,4.14281885166484,61.575092396894,80.8035554767112,0.786342441379874,482000,15.0442477876106,56.637,75.1,0.681948279595617
THA,Thailand,East Asia & Pacific,Upper middle income,62.30,40.85,42.58,40.57,45.79,D,23960,100,76.564,,49.0776442074561,0.93628,90.86718789,2.52122219628772,136.747107022451,160.639312286761,2.71636831286516,39916000,19.5959595959596,58.963,19,28.3057768762254
TJK,Tajikistan,Europe & Central Asia,Lower middle income,54.74,31.54,15.02,32.62,30.33,N,7100,100,71.927,65.1080715172931,35.6398418742497,0.08969,55.79339981,5.43682120015444,65.6347010367354,76.215892145748,2.05083616601343,1035000,28.5714285714286,21.897,34.9,15.2077910112936
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,64.01,16.60,18.33,29.65,27.57,I,21020,100,70.201,94.8535459177809,20.4250351701637,0.09,17.99029922,4.28878021240234,28.7346076303052,88.1929367884543,3.2007384018073,,25.6,38.242,0.1,
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,46.66,32.93,24.05,37.75,34.37,N,5040,100,67.904,,30.9611108169641,,35.04199982,5.24052834781801,95.4485021286221,116.382391453038,12.0853687045097,74800.0030517578,35.3846153846154,61.676,11.4,1.52605032155587
TON,Tonga,East Asia & Pacific,Upper middle income,46.56,47.25,13.61,23.68,29.02,N,8400,100,73.07,29.5984543183511,42.8611738148984,,67.4417038,5.31016278046634,79.6239205024045,61.7257858761257,0.44357392332268,94000,3.84615384615385,42.347,2.3,28.4602948799521
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,63.14,31.10,21.46,24.70,31.94,N,36580,98.7,73.617,69.3692626736132,23.8493010569383,0.05039,82.15989685,3.23358011245727,,118.786668099235,-1.76782828873977,141000,23.8095238095238,47.77,0.5,0.223696636088891
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,60.50,52.73,23.69,19.64,34.90,D,14230,100,76.711,64.9781072145301,38.1219482421875,,76.5,6.73398856321206,106.298549204247,117.606816067203,1.4797736580075,2012000,15.7894736842105,26.497,11.6,7.70110744284105
TUR,Turkiye,Europe & Central Asia,Upper middle income,69.04,55.68,22.37,24.21,37.99,N,44600,100,77.421,,105.88606262207,1.42224,89.77024003,3.09571003913879,54.5988061195916,107.826875714392,0.860701598247461,15971000,19.8988195615514,37.145,12,5.13775956987065
TUV,Tuvalu,East Asia & Pacific,Upper middle income,35.73,49.97,18.38,2.80,17.41,D,8320,100,67.259,8.72255043279915,19.3509615384615,,35.20000076,12.8456897735596,,98.8590872698158,0.267002517757908,3599.99990463257,0,,5.2,
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,26.17,18.54,20.01,64.14,28.09,I,4130,48.3,67.212,31.3253989476029,4.01880979537964,,31.16209984,3.15504437906936,41.5131207208244,126.559163217786,2.17843632795407,1527000,39.5348837209302,80.282,78.3,3.00569275084221
UGA,Uganda,Sub-Saharan Africa,Low income,24.50,9.03,14.76,63.20,21.31,I,3190,51.5,68.487,18.0971227782691,4.61899995803833,0.4383,8.949831061,2.56105027176925,42.6527889088562,83.165031466902,6.04170465829259,473000,34.0540540540541,75.595,90.9,1.91593833437355
